EdgeID	FromNode	ToNode	EdgeLabel
1365	 Ron Conway	Pinterest	invested

1366	 FirstMark Capital	Pinterest	invested

1367	 Kevin Hartz	Pinterest	invested

1368	 Jeremy Stoppelman	Pinterest	invested

1369	 Hank Vigil	Pinterest	invested

1370	 Fritz Lanman	Pinterest	invested

1371	 Rakuten	Pinterest	invested

1372	 Andreessen Horowitz	Pinterest	invested

1373	 Bessemer Venture Partners	Pinterest	invested

1374	 Jeremy Stoppelman	Pinterest	invested

1375	 Charles River Ventures	Scribd	invested

1376	 Redpoint Ventures	Scribd	invested

1377	 Kinsey Hills Group	Scribd	invested

1378	 Appelgren	Mentimeter	invested

1379	 Scott Walchek	Docstoc	invested

1380	 Brett Brewer	Docstoc	invested

1381	 Matt Coffin	Docstoc	invested

1382	 Robin Richards	Docstoc	invested

1383	 Crosscut Ventures	Docstoc	invested

1384	 FreshTracks Capital	Ello (social network)	invested

1385	 Accel Partners	 Lynda.com	invested

1386	 Spectrum Equity	 Lynda.com	invested

1387	 Meritech Capital Partners	 Lynda.com	invested

1388	 Highland Capital Partners	Digg	invested

1389	 Amazon.com	Kleiner Perkins	invested

1390	 Googleplex	CapitalG	invested

1391	 TPG Capital	 lynda.com	invested

1392	 Kleiner Perkins Caufield Byers	Flipboard	invested

1393	 Index Ventures	Flipboard	invested

1394	 Rizvi Traverse Management	Flipboard	invested

1395	 Insight Venture	Flipboard	invested

1396	 JPMorgan	 Chase	invested

1397	 angel investors	StartX	invested

1398	Bessemer Venture Partners	 LinkedIn	invested

1399	Bessemer Venture Partners	 Box Inc.	invested

1400	Bessemer Venture Partners	 Shopify Inc	invested

1401	 Sequoia Capital	Drawbridge (company)	invested

1402	 Kleiner Perkins	Drawbridge (company)	invested

1403	 Northgate Capital	Drawbridge (company)	invested

1404	 Mitsui	Drawbridge (company)	invested

1405	 AGF Private Equity	Viadeo	invested

1406	 Ventech	Viadeo	invested

1407	 Redpoint Ventures	Spring.me	invested

1408	 Baseline Ventures	Spring.me	invested

1409	 Matrix Partners	Vermeer Technologies	invested

1410	 Sigma Partners	Vermeer Technologies	invested

1411	 Atlas Venture.The	Vermeer Technologies	invested

1412	 Atomico	Wunderlist	invested

1413	 High-Tech Gründerfonds	Wunderlist	invested

1414	 John Malloy	PayPal	invested

1415	 BlueRun Ventures	PayPal	invested

1401	LinkedIn	mspoke	acquired

1402	LinkedIn	ChoiceVendor	acquired

1403	LinkedIn	CardMunch	acquired

1404	LinkedIn	Connected	acquired

1405	LinkedIn	IndexTank	acquired

1406	LinkedIn	Rapportive	acquired

1407	LinkedIn	SlideShare	acquired

1408	LinkedIn	Pulse	acquired

1409	LinkedIn	Bright.com	acquired

1410	LinkedIn	Newsle	acquired

1411	LinkedIn	Bizo	acquired

1412	LinkedIn	Careerify	acquired

1413	LinkedIn	Refresh.io	acquired

1414	LinkedIn	Lynda.com	acquired

1415	LinkedIn	Fliptop	acquired

1416	LinkedIn	Connectifier	acquired

1417	LinkedIn	PointDrive	acquired

1418	LinkedIn	Glint Inc.	acquired

1419	LinkedIn	Drawbridge	acquired

1440	Burda Digital	XING	invested

1441	Oppenheimer Holdings	XING	invested

1442	Wasatch Advisors	XING	invested

1443	Union Investment (majority for DZ Bank )	XING	invested

1444	DWS Investments (majority for Deutsche Bank )	XING	invested

1445	Norges Bank	XING	invested

1446	free float	XING	invested

1447	Xbox Game Studios	343 Industries	acquired

1448	Xbox Game Studios	Compulsion Games	acquired

1449	Xbox Game Studios	Double Fine	acquired

1450	Xbox Game Studios	Age of Empires studio	acquired

1451	Xbox Game Studios	inXile Entertainment	acquired

1452	Xbox Game Studios	Mojang	acquired

1453	Xbox Game Studios	Ninja Theory	acquired

1454	Xbox Game Studios	Obsidian Entertainment	acquired

1455	Xbox Game Studios	Playground Games	acquired

1456	Xbox Game Studios	Rare	acquired

1457	Xbox Game Studios	The Coalition	acquired

1458	Xbox Game Studios	The Initiative	acquired

1459	Xbox Game Studios	Turn 10 Studios	acquired

1460	Xbox Game Studios	Undead Labs	acquired

1461	Xbox Game Studios	Xbox Game Studios Publishing	acquired

1462	CapitalG	MultiPlan	invested

1463	CapitalG	SurveyMonkey	invested

1464	CapitalG	LendingClub	invested

1465	CapitalG	Renaissance	invested

1466	CapitalG	Auction.com	invested

1467	CapitalG	Credit Karma	invested

1468	CapitalG	Freshdesk	invested

1469	CapitalG	MapR	invested

1470	CapitalG	Thumbtack	invested

1471	CapitalG	InnoLight	invested

1472	CapitalG	Glassdoor	invested

1473	CapitalG	CommonFloor	invested

1474	CapitalG	ZenPayroll	invested

1475	CapitalG	Freshdesk	invested

1476	CapitalG	Duolingo	invested

1477	CapitalG	Crowdstrike	invested

1478	CapitalG	FanDuel	invested

1479	CapitalG	Practo	invested

1480	CapitalG	Oscar Health	invested

1481	CapitalG	Zscaler	invested

1482	CapitalG	Snap Inc.	invested

1483	CapitalG	Pindrop	invested

1484	CapitalG	CarDekho	invested

1485	CapitalG	Care.com	invested

1486	CapitalG	Airbnb	invested

1487	CapitalG	Stripe	invested

1488	CapitalG	Cuemath	invested

1489	CapitalG	Looker	invested

1490	CapitalG	Lyft	invested

1491	CapitalG	UiPath	invested

1492	CapitalG	Manbang	invested

1493	CapitalG	Robinhood	invested

1494	CapitalG	Aye Finance	invested

1495	CapitalG	Convoy	invested

1496	CapitalG	Applied	invested

1497	CapitalG	Collibra	invested

1498	CapitalG	CarDekho	invested

1499	CapitalG	Cloudflare	invested

1500	Expedia Group	Travelscape	acquired

1501	Expedia Group	Vacationspot	acquired

1502	Expedia Group	Classic Custom Vacations[note 1]	acquired

1503	Expedia Group	Metropolitan Travel	acquired

1504	Expedia Group	Newtrade Technologies	acquired

1505	Expedia Group	Activity World	acquired

1506	Expedia Group	Egencia	acquired

1507	Expedia Group	Venere.com	acquired

1508	Expedia Group	Mobiata	acquired

1509	Expedia Group	VIA Travel	acquired

1510	Expedia Group	trivago GmbH	acquired

1511	Expedia Group	Wotif	acquired

1512	Expedia Group	Travelocity	acquired

1513	Expedia Group	Orbitz	acquired

1514	Expedia Group	HomeAway	acquired

1515	Expedia Group	Pillow	acquired

1516	Expedia Group	ApartmentJet	acquired

1517	Expedia Group	CanadaStays	acquired

1518	Technology Crossover Ventures	"Expedia, Inc.[note 2]"	acquired

1519	USA Networks	"Expedia, Inc.[note 3]"	acquired

1520	USA Interactive	"Expedia, Inc.[note 4]"	acquired

1521	IAC/InterActiveCorp	Expedia Inc.[note 5]	acquired

1522	PayPal	Fraud Sciences	acquired

1523	PayPal	Bill Me Later	acquired

1524	PayPal	Where.com	acquired

1525	PayPal	FigCard	acquired

1526	PayPal	Zong	acquired

1527	PayPal	card.io	acquired

1528	PayPal	IronPearl	acquired

1529	PayPal	Braintree	acquired

1530	PayPal	Venmo	acquired

1531	PayPal	StackMob	acquired

1532	PayPal	Paydiant	acquired

1533	PayPal	CyActive	acquired

1534	PayPal	Xoom Corporation	acquired

1535	PayPal	Modest Inc	acquired

1536	PayPal	TIO Networks	acquired

1537	PayPal	Swift Financial	acquired

1538	PayPal	iZettle	acquired

1539	PayPal	Hyperwallet	acquired

1540	PayPal	Simility	acquired

1541	PayPal	GoPay	acquired

