hTeam,vteam,hScore,vScore
Toronto Maple Leafs,NY Islanders Islanders,3,4
Edmonton Oilers,Detroit Red Wings,2,4
Minnesota Wild,Edmonton Oilers,1,2
Boston Bruins,Buffalo Sabres,4,3
NY Rangers Rangers,St Louis Blues,3,3
NY Islanders Islanders,Tampa Bay Lightning,5,2
NY Rangers Rangers,Philadelphia Flyers,2,0
Winnipeg Jets,Colorado Avalanche,2,1
Detroit Red Wings,Vancouver Canucks,5,3
Washington Capitals,Florida Panthers,4,3
San Diego Sockers,Florida Panthers,2,6
Edmonton Oilers,Vancouver Canucks,2,3
New Jersey Devils,Boston Bruins,2,3
Carolina Hurricanes,Montreal Canadiens,1,3
Buffalo Sabres,Colorado Avalanche,1,5
Minnesota Wild,Arizona Coyotes,3,1
San Jose Sharks,St Louis Blues,3,2
Dallas Stars,St Louis Blues,5,7
Columbus Blue Jackets,NY Islanders Islanders,3,3
Columbus Blue Jackets,Dallas Stars,2,4
Ottawa Senators,Columbus Blue Jackets,1,4
Chicago Blackhawks,Buffalo Sabres,6,2
Chicago Blackhawks,Dallas Stars,5,4
Columbus Blue Jackets,Florida Panthers,2,1
NY Rangers Rangers,Minnesota Wild,5,4
Calgary Flames,Winnipeg Jets,5,2
Los Angeles Kings,Tampa Bay Lightning,3,2
Toronto Maple Leafs,Colorado Avalanche,3,2
Colorado Avalanche,NY Rangers Rangers,3,6
Toronto Maple Leafs,Boston Bruins,6,1
Vancouver Canucks,NY Rangers Rangers,1,5
Colorado Avalanche,Winnipeg Jets,0,0
Montreal Canadiens,Toronto Maple Leafs,4,0
Dallas Stars,NY Islanders Islanders,3,2
NY Rangers Rangers,San Jose Sharks,4,0
Winnipeg Jets,St Louis Blues,2,4
Calgary Flames,Boston Bruins,4,3
Chicago Blackhawks,Winnipeg Jets,0,1
Pittsburgh Penguins,NY Rangers Rangers,2,2
Carolina Hurricanes,Washington Capitals,1,2
St Louis Blues,Los Angeles Kings,5,2
Buffalo Sabres,Colorado Avalanche,4,1
Pittsburgh Penguins,Tampa Bay Lightning,6,2
Toronto Maple Leafs,NY Rangers Rangers,2,5
Montreal Canadiens,Vancouver Canucks,3,0
Carolina Hurricanes,San Jose Sharks,1,0
Toronto Maple Leafs,Vancouver Canucks,6,3
Colorado Avalanche,Pittsburgh Penguins,1,4
Vancouver Canucks,Calgary Flames,2,3
Washington Capitals,New Jersey Devils,5,3
NY Rangers Rangers,New Jersey Devils,2,3
Washington Capitals,Winnipeg Jets,3,2
Florida Panthers,Toronto Maple Leafs,7,2
Vancouver Canucks,Tampa Bay Lightning,4,2
Pittsburgh Penguins,Boston Bruins,4,3
Boston Bruins,Chicago Blackhawks,4,2
Calgary Flames,Winnipeg Jets,6,2
Columbus Blue Jackets,Nashville Predators,3,4
Winnipeg Jets,Philadelphia Flyers,3,2
Detroit Red Wings,Carolina Hurricanes,3,5
Arizona Coyotes,San Diego Sockers,0,3
Winnipeg Jets,Calgary Flames,2,0
Ottawa Senators,NY Islanders Islanders,3,2
St Louis Blues,Dallas Stars,3,0
Winnipeg Jets,Minnesota Wild,5,4
St Louis Blues,Arizona Coyotes,2,5
Pittsburgh Penguins,Florida Panthers,4,3
St Louis Blues,Winnipeg Jets,2,3
Arizona Coyotes,Ottawa Senators,2,3
Arizona Coyotes,St Louis Blues,4,6
Nashville Predators,San Diego Sockers,2,2
Washington Capitals,Chicago Blackhawks,6,0
Dallas Stars,Carolina Hurricanes,4,3
New Jersey Devils,NY Islanders Islanders,0,1
Los Angeles Kings,Calgary Flames,5,0
San Diego Sockers,Florida Panthers,1,4
Minnesota Wild,Colorado Avalanche,2,0
Nashville Predators,Winnipeg Jets,5,4
Pittsburgh Penguins,Dallas Stars,6,2
Ottawa Senators,Pittsburgh Penguins,1,1
NY Islanders Islanders,Florida Panthers,1,5
Arizona Coyotes,Calgary Flames,2,5
Toronto Maple Leafs,Columbus Blue Jackets,1,5
Chicago Blackhawks,Los Angeles Kings,4,2
San Jose Sharks,Winnipeg Jets,5,2
Arizona Coyotes,Chicago Blackhawks,4,5
San Jose Sharks,San Diego Sockers,0,1
Calgary Flames,Buffalo Sabres,4,3
Tampa Bay Lightning,Pittsburgh Penguins,5,4
New Jersey Devils,Arizona Coyotes,4,3
Toronto Maple Leafs,New Jersey Devils,3,6
Winnipeg Jets,NY Islanders Islanders,4,2
Philadelphia Flyers,Columbus Blue Jackets,6,0
Nashville Predators,Boston Bruins,2,1
Edmonton Oilers,Arizona Coyotes,3,2
Montreal Canadiens,Ottawa Senators,3,4
Toronto Maple Leafs,Florida Panthers,1,0
New Jersey Devils,Colorado Avalanche,4,1
Vancouver Canucks,Minnesota Wild,2,5
Los Angeles Kings,Carolina Hurricanes,3,2
Dallas Stars,NY Rangers Rangers,2,1
Vegas Golden Knights,Washington Capitals,3,0
Winnipeg Jets,Dallas Stars,4,2
Minnesota Wild,Chicago Blackhawks,3,4
Nashville Predators,Carolina Hurricanes,2,1
Vancouver Canucks,Dallas Stars,2,4
Pittsburgh Penguins,Detroit Red Wings,4,1
Pittsburgh Penguins,Carolina Hurricanes,1,2
Calgary Flames,Detroit Red Wings,6,3
Edmonton Oilers,Tampa Bay Lightning,6,2
Vegas Golden Knights,Arizona Coyotes,3,2
Dallas Stars,Colorado Avalanche,1,4
Columbus Blue Jackets,Los Angeles Kings,2,2
Los Angeles Kings,Philadelphia Flyers,2,0
Columbus Blue Jackets,Philadelphia Flyers,1,2
Pittsburgh Penguins,NY Rangers Rangers,5,2
Edmonton Oilers,Vancouver Canucks,6,2
Dallas Stars,Calgary Flames,1,2
Calgary Flames,San Jose Sharks,4,2
Washington Capitals,Calgary Flames,4,2
San Jose Sharks,Columbus Blue Jackets,2,4
Washington Capitals,Pittsburgh Penguins,1,3
Colorado Avalanche,Vancouver Canucks,1,3
Arizona Coyotes,San Diego Sockers,0,3
Washington Capitals,Buffalo Sabres,3,1
Nashville Predators,Washington Capitals,3,5
Chicago Blackhawks,NY Rangers Rangers,2,3
Florida Panthers,Ottawa Senators,6,2
NY Islanders Islanders,San Jose Sharks,6,3
Philadelphia Flyers,Calgary Flames,5,3
Columbus Blue Jackets,NY Islanders Islanders,5,0
Philadelphia Flyers,Buffalo Sabres,5,1
Ottawa Senators,Vancouver Canucks,1,0
Boston Bruins,Washington Capitals,1,3
St Louis Blues,Minnesota Wild,3,3
Carolina Hurricanes,New Jersey Devils,3,1
New Jersey Devils,Tampa Bay Lightning,2,1
Columbus Blue Jackets,New Jersey Devils,6,1
Chicago Blackhawks,San Diego Sockers,2,3
St Louis Blues,Ottawa Senators,3,0
Nashville Predators,Vancouver Canucks,2,1
NY Rangers Rangers,Calgary Flames,4,3
St Louis Blues,Washington Capitals,2,4
Detroit Red Wings,Toronto Maple Leafs,0,1
Ottawa Senators,Arizona Coyotes,1,4
Montreal Canadiens,Calgary Flames,2,3
Minnesota Wild,San Diego Sockers,5,3
Columbus Blue Jackets,Toronto Maple Leafs,5,2
Washington Capitals,Tampa Bay Lightning,4,2
Toronto Maple Leafs,Calgary Flames,5,2
Winnipeg Jets,Pittsburgh Penguins,1,0
Boston Bruins,Dallas Stars,3,5
NY Rangers Rangers,Philadelphia Flyers,3,1
Boston Bruins,Washington Capitals,2,3
Philadelphia Flyers,Chicago Blackhawks,3,0
Los Angeles Kings,San Diego Sockers,4,1
Arizona Coyotes,San Jose Sharks,3,1
Tampa Bay Lightning,New Jersey Devils,4,1
NY Rangers Rangers,Carolina Hurricanes,4,2
Arizona Coyotes,Los Angeles Kings,2,6
Philadelphia Flyers,Dallas Stars,4,2
New Jersey Devils,Toronto Maple Leafs,2,4
Boston Bruins,Los Angeles Kings,1,2
Boston Bruins,Nashville Predators,4,3
Toronto Maple Leafs,Nashville Predators,2,2
Columbus Blue Jackets,Buffalo Sabres,4,3
Chicago Blackhawks,Ottawa Senators,3,0
Colorado Avalanche,Calgary Flames,5,2
Pittsburgh Penguins,Florida Panthers,4,0
Buffalo Sabres,Tampa Bay Lightning,1,1
Winnipeg Jets,Vancouver Canucks,2,1
Boston Bruins,Ottawa Senators,7,3
Ottawa Senators,Tampa Bay Lightning,1,2
Calgary Flames,Columbus Blue Jackets,1,4
Buffalo Sabres,Dallas Stars,1,3
Minnesota Wild,Edmonton Oilers,4,3
Pittsburgh Penguins,Colorado Avalanche,1,2
Arizona Coyotes,San Jose Sharks,3,2
San Jose Sharks,Detroit Red Wings,1,2
Dallas Stars,Philadelphia Flyers,3,1
Ottawa Senators,Florida Panthers,2,7
San Diego Sockers,Carolina Hurricanes,3,2
Boston Bruins,Pittsburgh Penguins,4,3
Toronto Maple Leafs,NY Islanders Islanders,3,3
Minnesota Wild,San Jose Sharks,3,2
Los Angeles Kings,Florida Panthers,2,3
Montreal Canadiens,New Jersey Devils,5,2
Carolina Hurricanes,Buffalo Sabres,4,2
New Jersey Devils,Florida Panthers,2,1
Columbus Blue Jackets,NY Rangers Rangers,4,5
Detroit Red Wings,Buffalo Sabres,3,4
San Diego Sockers,Los Angeles Kings,2,1
Ottawa Senators,Columbus Blue Jackets,6,7
Edmonton Oilers,San Diego Sockers,3,2
Chicago Blackhawks,Dallas Stars,4,3
New Jersey Devils,Pittsburgh Penguins,4,0
Carolina Hurricanes,Ottawa Senators,4,1
Nashville Predators,Vegas Golden Knights,3,3
New Jersey Devils,NY Rangers Rangers,3,4
Buffalo Sabres,Washington Capitals,4,1
Winnipeg Jets,Toronto Maple Leafs,6,1
Chicago Blackhawks,Calgary Flames,5,1
Montreal Canadiens,Toronto Maple Leafs,3,4
San Diego Sockers,Arizona Coyotes,3,2
Los Angeles Kings,Calgary Flames,3,4
Buffalo Sabres,Philadelphia Flyers,4,2
Colorado Avalanche,San Jose Sharks,2,5
Winnipeg Jets,Philadelphia Flyers,2,2
Toronto Maple Leafs,Florida Panthers,1,4
Nashville Predators,Chicago Blackhawks,5,1
Ottawa Senators,Colorado Avalanche,2,1
Calgary Flames,Vancouver Canucks,5,2
Arizona Coyotes,Edmonton Oilers,4,3
San Jose Sharks,Nashville Predators,4,1
Pittsburgh Penguins,Toronto Maple Leafs,3,4
NY Islanders Islanders,San Diego Sockers,4,5
Colorado Avalanche,Florida Panthers,2,1
San Jose Sharks,Ottawa Senators,3,3
Philadelphia Flyers,Los Angeles Kings,2,2
Ottawa Senators,NY Islanders Islanders,2,5
NY Rangers Rangers,Ottawa Senators,4,1
Los Angeles Kings,Toronto Maple Leafs,5,3
Nashville Predators,NY Rangers Rangers,5,2
Detroit Red Wings,Florida Panthers,3,0
San Jose Sharks,Colorado Avalanche,6,1
San Diego Sockers,Los Angeles Kings,2,3
Ottawa Senators,Detroit Red Wings,2,2
St Louis Blues,Colorado Avalanche,6,1
Montreal Canadiens,Arizona Coyotes,4,5
New Jersey Devils,Tampa Bay Lightning,2,4
Toronto Maple Leafs,Montreal Canadiens,2,3
Calgary Flames,Winnipeg Jets,4,1
Chicago Blackhawks,Dallas Stars,2,6
Washington Capitals,Pittsburgh Penguins,3,2
Tampa Bay Lightning,St Louis Blues,2,1
NY Rangers Rangers,Florida Panthers,3,3
Arizona Coyotes,Boston Bruins,2,6
Ottawa Senators,Florida Panthers,2,3
Boston Bruins,Buffalo Sabres,3,6
Colorado Avalanche,San Jose Sharks,3,3
Winnipeg Jets,Vancouver Canucks,2,0
Toronto Maple Leafs,Boston Bruins,3,2
Nashville Predators,Colorado Avalanche,4,1
Minnesota Wild,Colorado Avalanche,3,0
Minnesota Wild,Vancouver Canucks,2,3
Boston Bruins,Washington Capitals,1,2
Ottawa Senators,San Diego Sockers,3,4
Columbus Blue Jackets,Carolina Hurricanes,3,2
Pittsburgh Penguins,Dallas Stars,3,1
Arizona Coyotes,NY Rangers Rangers,1,4
NY Rangers Rangers,New Jersey Devils,1,2
Columbus Blue Jackets,Carolina Hurricanes,2,2
Calgary Flames,Dallas Stars,3,1
Boston Bruins,San Jose Sharks,4,5
Chicago Blackhawks,Colorado Avalanche,6,3
Columbus Blue Jackets,Minnesota Wild,1,0
Chicago Blackhawks,Nashville Predators,3,2
St Louis Blues,Minnesota Wild,2,6
Montreal Canadiens,Ottawa Senators,1,2
Buffalo Sabres,NY Rangers Rangers,4,3
San Jose Sharks,Edmonton Oilers,1,1
Florida Panthers,New Jersey Devils,3,2
Washington Capitals,Edmonton Oilers,1,1
San Jose Sharks,Ottawa Senators,5,0
Ottawa Senators,Calgary Flames,2,3
Arizona Coyotes,Calgary Flames,4,1
Arizona Coyotes,Minnesota Wild,2,1
Washington Capitals,Colorado Avalanche,7,3
Philadelphia Flyers,New Jersey Devils,3,0
Los Angeles Kings,Detroit Red Wings,4,1
St Louis Blues,Carolina Hurricanes,3,2
Dallas Stars,San Diego Sockers,4,2
San Diego Sockers,San Jose Sharks,2,3
Buffalo Sabres,Columbus Blue Jackets,5,3
Montreal Canadiens,Tampa Bay Lightning,3,3
San Diego Sockers,St Louis Blues,3,3
Ottawa Senators,Buffalo Sabres,2,3
Florida Panthers,Washington Capitals,1,2
Los Angeles Kings,Washington Capitals,4,2
San Jose Sharks,Edmonton Oilers,2,4
Nashville Predators,Columbus Blue Jackets,4,2
Toronto Maple Leafs,Winnipeg Jets,1,3
San Jose Sharks,Calgary Flames,5,2
Carolina Hurricanes,Toronto Maple Leafs,1,1
San Diego Sockers,New Jersey Devils,3,2
Boston Bruins,Nashville Predators,2,3
Colorado Avalanche,Dallas Stars,3,0
Colorado Avalanche,Chicago Blackhawks,1,2
Carolina Hurricanes,Toronto Maple Leafs,0,4
Edmonton Oilers,Carolina Hurricanes,1,0
Florida Panthers,Tampa Bay Lightning,1,0
Colorado Avalanche,Dallas Stars,2,7
Vancouver Canucks,Los Angeles Kings,6,2
Colorado Avalanche,Nashville Predators,1,5
Ottawa Senators,Montreal Canadiens,3,3
Buffalo Sabres,St Louis Blues,1,2
Edmonton Oilers,Pittsburgh Penguins,2,2
Los Angeles Kings,Dallas Stars,0,2
Detroit Red Wings,NY Islanders Islanders,1,3
Tampa Bay Lightning,Florida Panthers,4,4
Minnesota Wild,Dallas Stars,4,2
Florida Panthers,Tampa Bay Lightning,5,2
San Jose Sharks,Edmonton Oilers,3,2
Carolina Hurricanes,Buffalo Sabres,1,1
Buffalo Sabres,Washington Capitals,0,2
NY Rangers Rangers,Boston Bruins,1,6
NY Rangers Rangers,Ottawa Senators,0,2
Philadelphia Flyers,Buffalo Sabres,2,1
Washington Capitals,Boston Bruins,4,1
Calgary Flames,Dallas Stars,3,3
Minnesota Wild,Winnipeg Jets,0,1
Ottawa Senators,Buffalo Sabres,3,2
Philadelphia Flyers,Chicago Blackhawks,3,1
Edmonton Oilers,Calgary Flames,0,5
St Louis Blues,Colorado Avalanche,1,4
Nashville Predators,Minnesota Wild,2,5
Columbus Blue Jackets,Ottawa Senators,3,7
Buffalo Sabres,Nashville Predators,4,5
NY Islanders Islanders,San Diego Sockers,3,2
Florida Panthers,Montreal Canadiens,2,0
Pittsburgh Penguins,Arizona Coyotes,3,1
Ottawa Senators,Chicago Blackhawks,1,2
Boston Bruins,St Louis Blues,0,2
NY Rangers Rangers,Pittsburgh Penguins,3,2
NY Rangers Rangers,Buffalo Sabres,1,4
Dallas Stars,Winnipeg Jets,3,2
Toronto Maple Leafs,Dallas Stars,4,1
Buffalo Sabres,Pittsburgh Penguins,0,4
Colorado Avalanche,Pittsburgh Penguins,4,2
Columbus Blue Jackets,Florida Panthers,3,3
Edmonton Oilers,San Diego Sockers,1,1
San Diego Sockers,Montreal Canadiens,6,2
Tampa Bay Lightning,Detroit Red Wings,4,1
Philadelphia Flyers,Tampa Bay Lightning,4,2
Vancouver Canucks,Dallas Stars,2,4
Edmonton Oilers,Buffalo Sabres,4,2
St Louis Blues,Edmonton Oilers,2,3
Edmonton Oilers,Detroit Red Wings,4,3
NY Islanders Islanders,Boston Bruins,1,2
Carolina Hurricanes,Boston Bruins,4,6
NY Islanders Islanders,Nashville Predators,4,3
NY Rangers Rangers,Montreal Canadiens,1,4
Vegas Golden Knights,Montreal Canadiens,6,3
Florida Panthers,Montreal Canadiens,5,0
Philadelphia Flyers,NY Islanders Islanders,3,3
Calgary Flames,NY Islanders Islanders,5,2
Pittsburgh Penguins,San Jose Sharks,1,3
San Jose Sharks,Arizona Coyotes,2,1
Toronto Maple Leafs,Montreal Canadiens,4,0
Montreal Canadiens,Tampa Bay Lightning,2,4
Boston Bruins,Winnipeg Jets,1,1
Los Angeles Kings,Calgary Flames,1,4
Chicago Blackhawks,St Louis Blues,4,2
NY Rangers Rangers,Pittsburgh Penguins,1,6
Nashville Predators,Edmonton Oilers,5,4
New Jersey Devils,Columbus Blue Jackets,0,3
Dallas Stars,Minnesota Wild,2,2
Philadelphia Flyers,Boston Bruins,0,3
Edmonton Oilers,Toronto Maple Leafs,5,2
Minnesota Wild,Winnipeg Jets,3,1
Winnipeg Jets,Minnesota Wild,5,1
Ottawa Senators,Minnesota Wild,1,2
St Louis Blues,Vegas Golden Knights,2,1
Calgary Flames,San Diego Sockers,3,4
Vancouver Canucks,Edmonton Oilers,2,3
Ottawa Senators,San Diego Sockers,2,1
Edmonton Oilers,Winnipeg Jets,0,5
Florida Panthers,Washington Capitals,2,4
Los Angeles Kings,Florida Panthers,4,0
San Diego Sockers,Vancouver Canucks,2,3
Colorado Avalanche,Arizona Coyotes,2,4
Los Angeles Kings,Arizona Coyotes,2,3
Pittsburgh Penguins,Columbus Blue Jackets,5,2
Dallas Stars,Toronto Maple Leafs,1,4
Edmonton Oilers,San Diego Sockers,3,2
Columbus Blue Jackets,Nashville Predators,1,3
Colorado Avalanche,Dallas Stars,6,3
NY Rangers Rangers,Minnesota Wild,1,4
Washington Capitals,San Jose Sharks,0,5
Winnipeg Jets,St Louis Blues,2,4
Nashville Predators,Chicago Blackhawks,3,5
Ottawa Senators,Florida Panthers,2,0
Boston Bruins,Edmonton Oilers,3,4
Florida Panthers,Vancouver Canucks,4,2
Philadelphia Flyers,Florida Panthers,5,1
Chicago Blackhawks,Carolina Hurricanes,2,3
San Jose Sharks,Philadelphia Flyers,3,5
Dallas Stars,Calgary Flames,2,1
Nashville Predators,Montreal Canadiens,2,2
Ottawa Senators,Columbus Blue Jackets,3,0
Calgary Flames,Florida Panthers,5,2
NY Rangers Rangers,Columbus Blue Jackets,5,3
Washington Capitals,Tampa Bay Lightning,4,0
Boston Bruins,St Louis Blues,3,1
Nashville Predators,Columbus Blue Jackets,5,1
Colorado Avalanche,Chicago Blackhawks,3,4
Tampa Bay Lightning,Winnipeg Jets,4,3
San Jose Sharks,Boston Bruins,3,2
Vegas Golden Knights,Colorado Avalanche,4,1
Calgary Flames,Buffalo Sabres,4,3
Vancouver Canucks,Buffalo Sabres,0,4
St Louis Blues,Ottawa Senators,4,6
Chicago Blackhawks,Nashville Predators,1,3
Tampa Bay Lightning,Florida Panthers,5,4
Winnipeg Jets,Chicago Blackhawks,3,1
Colorado Avalanche,Toronto Maple Leafs,4,3
Arizona Coyotes,Montreal Canadiens,4,5
Boston Bruins,Arizona Coyotes,6,1
Boston Bruins,Montreal Canadiens,4,0
New Jersey Devils,Dallas Stars,3,2
Nashville Predators,Calgary Flames,3,4
Montreal Canadiens,Dallas Stars,4,3
Winnipeg Jets,Montreal Canadiens,4,2
Edmonton Oilers,Tampa Bay Lightning,2,3
Toronto Maple Leafs,San Diego Sockers,6,5
Chicago Blackhawks,Philadelphia Flyers,3,0
San Jose Sharks,Arizona Coyotes,1,0
Montreal Canadiens,Tampa Bay Lightning,3,1
NY Rangers Rangers,Los Angeles Kings,3,2
Edmonton Oilers,NY Islanders Islanders,1,1
Columbus Blue Jackets,Ottawa Senators,2,1
Tampa Bay Lightning,NY Rangers Rangers,0,1
St Louis Blues,Chicago Blackhawks,3,4
Philadelphia Flyers,Carolina Hurricanes,3,2
Washington Capitals,St Louis Blues,0,4
San Jose Sharks,Arizona Coyotes,3,0
Arizona Coyotes,Vancouver Canucks,1,2
Chicago Blackhawks,Columbus Blue Jackets,3,1
Chicago Blackhawks,New Jersey Devils,2,3
Toronto Maple Leafs,Buffalo Sabres,1,3
Tampa Bay Lightning,Carolina Hurricanes,3,1
Toronto Maple Leafs,NY Rangers Rangers,1,1
Columbus Blue Jackets,San Jose Sharks,1,3
Minnesota Wild,Los Angeles Kings,3,4
Pittsburgh Penguins,Arizona Coyotes,7,0
San Jose Sharks,San Diego Sockers,1,2
Colorado Avalanche,Buffalo Sabres,5,3
San Diego Sockers,Nashville Predators,3,5
Tampa Bay Lightning,Pittsburgh Penguins,5,4
Toronto Maple Leafs,Philadelphia Flyers,4,5
Buffalo Sabres,St Louis Blues,0,1
Tampa Bay Lightning,San Diego Sockers,2,2
Detroit Red Wings,Philadelphia Flyers,4,4
San Jose Sharks,Minnesota Wild,3,6
Detroit Red Wings,Toronto Maple Leafs,4,0
Florida Panthers,Los Angeles Kings,3,6
Washington Capitals,Chicago Blackhawks,4,1
Boston Bruins,Florida Panthers,4,3
Edmonton Oilers,Montreal Canadiens,1,4
Arizona Coyotes,Washington Capitals,3,2
Pittsburgh Penguins,Columbus Blue Jackets,4,3
NY Islanders Islanders,Minnesota Wild,6,3
Chicago Blackhawks,NY Islanders Islanders,3,7
Florida Panthers,Tampa Bay Lightning,2,1
NY Islanders Islanders,Toronto Maple Leafs,4,5
San Jose Sharks,Minnesota Wild,0,2
New Jersey Devils,Detroit Red Wings,0,1
Los Angeles Kings,San Jose Sharks,1,4
Buffalo Sabres,Toronto Maple Leafs,1,1
NY Rangers Rangers,Tampa Bay Lightning,3,7
Columbus Blue Jackets,Buffalo Sabres,5,1
Carolina Hurricanes,San Jose Sharks,1,3
Columbus Blue Jackets,Minnesota Wild,2,4
Arizona Coyotes,Detroit Red Wings,2,3
Arizona Coyotes,Ottawa Senators,4,3
St Louis Blues,Nashville Predators,4,3
Colorado Avalanche,Ottawa Senators,3,4
Nashville Predators,Florida Panthers,1,2
Minnesota Wild,Chicago Blackhawks,6,1
Calgary Flames,Nashville Predators,1,2
NY Islanders Islanders,San Diego Sockers,3,5
Calgary Flames,San Jose Sharks,1,4
Toronto Maple Leafs,Nashville Predators,2,4
Nashville Predators,Minnesota Wild,3,2
NY Islanders Islanders,Nashville Predators,3,1
Buffalo Sabres,Winnipeg Jets,1,2
Chicago Blackhawks,Nashville Predators,2,2
Buffalo Sabres,Ottawa Senators,3,4
Montreal Canadiens,New Jersey Devils,4,3
Washington Capitals,Buffalo Sabres,1,1
Edmonton Oilers,Vancouver Canucks,7,2
Chicago Blackhawks,Montreal Canadiens,3,2
Philadelphia Flyers,Boston Bruins,3,3
Detroit Red Wings,St Louis Blues,3,4
Winnipeg Jets,Philadelphia Flyers,2,2
Columbus Blue Jackets,Tampa Bay Lightning,3,2
St Louis Blues,Chicago Blackhawks,3,1
Nashville Predators,Philadelphia Flyers,2,2
Buffalo Sabres,Carolina Hurricanes,3,5
Montreal Canadiens,Boston Bruins,2,1
Washington Capitals,Carolina Hurricanes,2,3
Ottawa Senators,Detroit Red Wings,1,6
Calgary Flames,Phoenix Coyotes,5,4
Carolina Hurricanes,Washington Capitals,2,4
San Diego Sockers,Calgary Flames,3,2
Washington Capitals,Tampa Bay Lightning,4,2
Winnipeg Jets,San Diego Sockers,2,3
Chicago Blackhawks,Nashville Predators,0,2
Dallas Stars,Columbus Blue Jackets,1,3
Carolina Hurricanes,Ottawa Senators,1,0
New Jersey Devils,San Diego Sockers,2,3
Toronto Maple Leafs,Buffalo Sabres,4,2
Minnesota Wild,Detroit Red Wings,2,3
Winnipeg Jets,Ottawa Senators,1,4
Vancouver Canucks,Nashville Predators,7,4
Detroit Red Wings,San Jose Sharks,0,0
Toronto Maple Leafs,Carolina Hurricanes,5,2
Chicago Blackhawks,New Jersey Devils,5,2
Ottawa Senators,New Jersey Devils,1,1
Dallas Stars,Columbus Blue Jackets,1,3
Winnipeg Jets,Vancouver Canucks,4,3
Chicago Blackhawks,San Jose Sharks,5,1
Washington Capitals,NY Islanders Islanders,6,2
Calgary Flames,Washington Capitals,5,2
Edmonton Oilers,Chicago Blackhawks,1,4
Nashville Predators,San Diego Sockers,2,5
Minnesota Wild,San Diego Sockers,1,2
San Jose Sharks,Minnesota Wild,3,1
Toronto Maple Leafs,Detroit Red Wings,4,4
Montreal Canadiens,Toronto Maple Leafs,3,4
Edmonton Oilers,Detroit Red Wings,2,3
Columbus Blue Jackets,San Diego Sockers,2,1
Pittsburgh Penguins,Florida Panthers,1,5
Tampa Bay Lightning,Montreal Canadiens,3,3
Pittsburgh Penguins,Carolina Hurricanes,1,4
Boston Bruins,Montreal Canadiens,3,4
NY Rangers Rangers,Boston Bruins,3,6
New Jersey Devils,Washington Capitals,2,1
New Jersey Devils,Ottawa Senators,1,1
Minnesota Wild,Dallas Stars,3,2
Detroit Red Wings,Columbus Blue Jackets,2,1
Detroit Red Wings,Phoenix Coyotes,2,4
Calgary Flames,Edmonton Oilers,4,3
Vancouver Canucks,San Diego Sockers,1,5
Dallas Stars,Colorado Avalanche,3,4
Chicago Blackhawks,Winnipeg Jets,1,3
Los Angeles Kings,Minnesota Wild,1,1
Los Angeles Kings,Chicago Blackhawks,3,5
Philadelphia Flyers,Minnesota Wild,4,1
Montreal Canadiens,Buffalo Sabres,3,2
San Diego Sockers,Los Angeles Kings,2,1
Winnipeg Jets,Florida Panthers,5,2
Carolina Hurricanes,Pittsburgh Penguins,4,1
Pittsburgh Penguins,San Diego Sockers,3,1
Pittsburgh Penguins,Buffalo Sabres,2,4
Buffalo Sabres,Boston Bruins,4,2
St Louis Blues,Nashville Predators,3,3
Toronto Maple Leafs,Tampa Bay Lightning,3,2
Phoenix Coyotes,Ottawa Senators,3,4
Florida Panthers,Philadelphia Flyers,3,1
Buffalo Sabres,Philadelphia Flyers,3,4
NY Islanders Islanders,Columbus Blue Jackets,2,0
Boston Bruins,Nashville Predators,3,2
Chicago Blackhawks,Dallas Stars,4,2
Boston Bruins,Washington Capitals,4,1
Columbus Blue Jackets,Detroit Red Wings,3,3
Edmonton Oilers,Tampa Bay Lightning,5,3
NY Rangers Rangers,Toronto Maple Leafs,5,2
Calgary Flames,San Diego Sockers,3,1
NY Rangers Rangers,NY Islanders Islanders,3,5
NY Rangers Rangers,Winnipeg Jets,2,5
Tampa Bay Lightning,Calgary Flames,1,4
Winnipeg Jets,St Louis Blues,1,2
St Louis Blues,New Jersey Devils,3,0
Florida Panthers,Pittsburgh Penguins,6,3
Winnipeg Jets,Nashville Predators,5,0
Los Angeles Kings,San Diego Sockers,2,1
Vancouver Canucks,Minnesota Wild,2,1
NY Rangers Rangers,NY Islanders Islanders,4,1
Colorado Avalanche,Philadelphia Flyers,2,1
Calgary Flames,Columbus Blue Jackets,1,2
Nashville Predators,Phoenix Coyotes,3,0
Phoenix Coyotes,Chicago Blackhawks,2,0
San Diego Sockers,Phoenix Coyotes,3,2
Chicago Blackhawks,St Louis Blues,4,0
Chicago Blackhawks,Detroit Red Wings,2,2
Ottawa Senators,Montreal Canadiens,4,1
Washington Capitals,San Jose Sharks,1,1
Ottawa Senators,Philadelphia Flyers,1,2
NY Rangers Rangers,Montreal Canadiens,1,3
Tampa Bay Lightning,Montreal Canadiens,3,4
St Louis Blues,Winnipeg Jets,3,3
Vancouver Canucks,Calgary Flames,5,2
Vancouver Canucks,Colorado Avalanche,2,4
San Diego Sockers,San Jose Sharks,5,2
Winnipeg Jets,NY Islanders Islanders,2,3
Detroit Red Wings,Nashville Predators,4,0
Columbus Blue Jackets,Colorado Avalanche,2,3
Florida Panthers,Pittsburgh Penguins,1,5
NY Rangers Rangers,Pittsburgh Penguins,3,6
Montreal Canadiens,Columbus Blue Jackets,2,3
New Jersey Devils,Toronto Maple Leafs,3,2
Boston Bruins,Ottawa Senators,2,1
